Region,Year,label,poultry_density,max_temp_q1,max_temp_q2,max_temp_q3,max_temp_q4,min_temp_q1,min_temp_q2,min_temp_q3,min_temp_q4,mean_temp_q1,mean_temp_q2,mean_temp_q3,mean_temp_q4,total_rain_q1,total_rain_q2,total_rain_q3,total_rain_q4,Loading,Unloading,Pop_total,F_TOTAL,F_Y_15-64,F_Y_GE65,F_Y_LT15,GDP_Annual,M_TOTAL,M_Y_GE65,M_Y_LT15,M_Y15-64,ndvi_q1,ndvi_q2,ndvi_q3,ndvi_q4,ndwi_q1,ndwi_q2,ndwi_q3,ndwi_q4,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,lai_hv_q1,lai_hv_q2,lai_lv_q1,lai_lv_q2
AT124,2021,0,50695,5.124892667,16.23416092,25.19813277,20.051733,-3.714419265,-1.555741959,11.88567697,0.456233294,0.159803011,6.79349522,18.26545833,8.754876155,90.48000284,120.1500034,331.6199985,76.75000201,10744,10530,215867,108712,67436,27604,13838,6924.62,107530,21903,14525,70469,0.457,0.673,0.772,0.634,0.278333333,0.245277778,0.2725,0.169166667,11.86620388,6.745591404,26.58371496,702.1055639,24.302998,-1.071903193,25.37490119,20.82056183,7.831853449,20.82056183,3.920147133,619.0000067,138.9299971,16.11000026,77.39995109,331.6199985,62.24000142,331.6199985,106.4800039,1.189178467,1.897633867,2.7448425,3.0119324
AT213,2021,0,21358,6.337976095,14.65516079,24.39766597,19.97238833,-7.267042791,-3.090860069,10.93822544,-0.251277794,-1.648076648,5.72910381,17.54214254,8.023520771,146.1833398,200.8333371,286.7000085,181.2333333,10022,9305,148202,74887,46569,18541,9846,4787.63,73378,14328,10296,48461,0.132,0.48,0.725,0.446,0.5475,0.372777778,0.29,0.340555556,10.13048893,5.437632632,20.51533041,745.8511718,22.550001,-3.955214968,26.50521597,17.3703541,6.492807273,19.8016266,1.050961576,814.9500187,159.9166696,11.9666666,62.41844569,329.2166756,70.56666883,286.7000085,146.1833398,1.5638326,2.432851133,1.914978,1.9880066
AT342,2021,0,2265,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,10850,11066,306581,154665,100771,30156,23715,13862.61,150816,23480,25127,102848,0.06,0.393,0.715,0.389,0.5725,0.424166667,0.275,0.384444444,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.253428133,2.936584467,1.7020874,1.9873962
BE233,2021,0,72045,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,1297,1730,86756,43446,26655,10379,6376,2456.9,42829,8640,6658,27877,0.538,0.62,0.71,0.623,0.134166667,0.171666667,0.190833333,0.150833333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.259450267,2.301259333,1.8899231,2.2005005
BE236,2021,0,72045,9.2778571,17.15967716,24.2406665,23.52666632,1.314999964,1.73899996,12.73233303,3.191999965,4.956021396,8.846863632,17.8101718,11.55565573,245.4000021,155.0000003,244.2000037,174.6000009,6311,8873,257085,130069,80252,28006,21822,9620.44,126183,23074,22497,81027,0.543,0.645,0.713,0.634,0.098333333,0.196666667,0.2025,0.142777778,14.19983901,6.815321735,33.87499939,462.0660522,23.869999,3.750967687,20.11903131,18.71825775,11.17450703,19.88008574,9.405010709,819.200007,113.8000003,12.8000002,49.11708385,281.6000034,113.3000003,244.2000037,241.1000025,2.173512767,2.241251567,2.0811768,2.4177551
BE254,2021,1,164995,8.172142781,16.92999982,23.94533303,22.819333,1.057096754,1.588666642,13.16225771,3.60199991,4.6364784,8.506748945,17.88300327,11.51088866,257.0000033,137.7000008,214.2000019,180.9000026,-999,-999,293593,148207,90008,34675,23438,12814.78,144895,27479,24459,93072,0.495,0.58,0.702,0.592,0.1125,0.179722222,0.206666667,0.205,13.45838983,5.648220015,27.70443817,496.3773383,23.66,3.272580555,20.38741944,8.446211402,9.874086692,19.65650163,8.446211402,789.8000086,121.3000031,15.9,50.04138616,284.7000037,94.3000007,214.2000019,284.7000037,1.919433567,2.0021464,2.3201294,2.4249268
BE254,2021,1,164995,8.172142781,16.92999982,23.94533303,22.819333,1.057096754,1.588666642,13.16225771,3.60199991,4.6364784,8.506748945,17.88300327,11.51088866,257.0000033,137.7000008,214.2000019,180.9000026,-999,-999,293593,148207,90008,34675,23438,12814.78,144895,27479,24459,93072,0.495,0.58,0.702,0.592,0.1125,0.179722222,0.206666667,0.205,13.45838983,5.648220015,27.70443817,496.3773383,23.66,3.272580555,20.38741944,8.446211402,9.874086692,19.65650163,8.446211402,789.8000086,121.3000031,15.9,50.04138616,284.7000037,94.3000007,214.2000019,284.7000037,1.919433567,2.0021464,2.3201294,2.4249268
BE257,2021,0,164995,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,3478,3530,93847,46651,28876,10553,7238,4065.49,47071,8800,7821,30444,0.46,0.527,0.658,0.548,0.098333333,0.155833333,0.2175,0.195833333,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,2.070556633,2.120229067,2.386383,2.4970398
BE323,2021,0,21010,9.442142739,17.68322561,24.82366647,23.692333,0.611935491,0.805666648,12.32999971,2.552999965,4.55589083,8.558992656,17.94028652,10.96810733,260.7000037,143.1000011,311.5000017,167.6000045,3200,2742,259351,133673,83664,28689,21378,6874.28,125460,19750,22363,83359,0.375,0.618,0.625,0.539,0.074166667,0.153333333,0.1725,0.111388889,13.2429095,5.474180334,26.18214762,511.1028111,23.88,2.971935413,20.90806459,19.83347659,9.810290938,19.83347659,7.936564305,882.9000111,135.400002,20.2000001,52.49551645,311.5000017,118.0000016,311.5000017,251.2000032,2.2258504,2.311869333,2.0098267,2.5835876
BE326,2021,0,21010,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,12075,-999,74526,13091,-999,-999,0.505,0.653,0.663,0.607,0.091666667,0.208611111,0.191666667,0.122222222,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999
