Region,Year,label,poultry_density,max_temp_q1,max_temp_q2,max_temp_q3,max_temp_q4,min_temp_q1,min_temp_q2,min_temp_q3,min_temp_q4,mean_temp_q1,mean_temp_q2,mean_temp_q3,mean_temp_q4,total_rain_q1,total_rain_q2,total_rain_q3,total_rain_q4,Loading,Trade,Pop_total,F_TOTAL,FEMALE_15-64,FEMALE_GE65,FEMALE_LT15,GDP_Annual,M_TOTAL,MALE_GE65,MALE_LT15,MALE_15-64,ndvi_q1,ndvi_q2,ndvi_q3,ndvi_q4,ndwi_q1,ndwi_q2,ndwi_q3,ndwi_q4,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19,lai_hv_q1,lai_hv_q2,lai_lv_q1,lai_lv_q2,Anatidae (incognita),Anas platyrhynchos,Pelecanus crispus,Larus ridibundus,Columba livia,Ciconia ciconia,Cygnus olor,Podiceps cristatus,Aythya fuligula,Larus argentatus,Ardea cinerea,Buteo buteo,Aythya ferina,Netta rufina,Tachybaptus ruficollis,Gallinula chloropus,Laridae (incognita),Falco peregrinus,Rallidae (incognita),Pelecanidae (incognita),Struthionidae (incognita),Strigidae (incognita),Phoenicopteridae (incognita),Phasianidae (incognita),Dromaiidae (incognita),Columbidae (incognita),Ciconiidae (incognita),Phalacrocorax carbo,Falconidae (incognita),Fulica atra,Larus marinus,Larus canus,Haliaeetus albicilla,Corvus corax,Cygnus cygnus,Accipiter gentilis,Anas penelope,Streptopelia decaocto,Pica pica,Anser erythropus,Anas crecca,Corvidae (incognita),Tadorna tadorna,Anser albifrons,Anser anser,Accipiter nisus,Accipitridae (incognita),Corvus cornix,Branta canadensis,Ardea alba,Cairina moschata,Numida meleagris,Pavo cristatus,Phasianus colchicus,Cygnus atratus,Passer domesticus,Pelecanus onocrotalus,Pelecanus philippensis,Phalacrocoracidae (incognita),Ardeidae (incognita),Bubulcus ibis,Sturnus vulgaris,Columba palumbus,Turdus philomelos,Falco tinnunculus,Cygnus columbianus,Botaurus stellaris,Anser fabalis,Charadriidae (incognita),Corvus frugilegus,Phalacrocorax pygmaeus,Falco cherrug,Numididae (incognita),Egretta garzetta,Turdus pilaris,Anser brachyrhynchus,Turdus merula,Somateria mollissima,Aythya marila,Circus aeruginosus,Alopochen aegyptiaca,Numenius arquata,Anserinae (unidentified),Gruidae (incognita),Cygnus (incognita),Threskiornithidae (incognita),Galliformes (incognita) (incognita),Hirundinidae (incognita),Psittacidae (incognita),Spheniscidae (incognita),Haematopodidae (incognita),Mergus merganser,Rhea americana,Branta leucopsis,Anas strepera,Branta bernicla,Morus bassanus,Asio flammeus,Bubo bubo,Anas versicolor,Anas bernieri,Aix sponsa,Platalea leucorodia,Dromaius novaehollandiae,Nymphicus hollandicus,Coturnix japonica,Lophura nycthemera,Diopsittaca nobilis,Aratinga auricapillus,Melopsittacus undulatus,Ara ararauna,Colinus virginianus,Serinus canaria,Fringilla coelebs,Larus fuscus,Dendrocygna eytoni,Chenonetta jubata,Calidris canutus,Garrulus glandarius,Tyto alba,Arenaria interpres,Larus michahellis,Rheidae (incognita),Casuariidae (incognita),Passeridae (incognita),Scolopacidae (incognita),Motacillidae (incognita),Perdix perdix,Coturnix coturnix,Milvus milvus,Corvus monedula,Buteo lagopus,Rallus aquaticus,Scolopax rusticola,Anas acuta,Strix uralensis,Aquila chrysaetos,Meleagris gallopavo,Branta sandvicensis,Grus grus,Chroicocephalus ridibundus,Pelecanus rufescens,Columba guinea,Phoenicopterus ruber,Aquila audax,Parabuteo unicinctus,Athene noctua,Balearica regulorum,Chroicocephalus cirrocephalus,Circus pygargus,Calidris pusilla,Calidris fuscicollis,Ardea herodias,Larus ichthyaetus,Spatula querquedula,Anas querquedula,Aix galericulata,Nycticorax nycticorax,Aythya nyroca,Eudocimus ruber,Corvus corone,Bucephala clangula,Haematopus ostralegus,Strix aluco,Alca torda,Uria aalge,Alcidae (incognita),Cepphus grylle,Fratercula arctica,Vanellus vanellus,Sterna hirundo,Thalasseus sandvicensis,Cygnus bewickii,Stercorarius skua,Pyrrhula pyrrhula
AL022,2021,1,0,12.83812483,22.37830613,31.33306423,25.8867496,4.069112857,4.136774135,15.97274963,9.686935306,7.606879593,12.06191737,23.83660899,16.20324618,582.4750112,222.3000036,62.02500356,217.5000042,-999,-999,912190,462261,320149,70490,72120,5708.64,447525,61485,76616,309970,-999,-999,-999,-999,0.2,0.224444444,0.1925,0.221944444,17.57931056,5.30429505,22.84872643,656.5785534,29.96,6.745161023,23.21483898,10.44718946,23.78390915,26.32455433,10.16253911,1084.300023,294.7750077,3.67500001,89.79621559,582.4750112,46.2500016,62.02500356,495.7750117,2.444932733,2.751966733,2.0929363,2.5530193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT127,2021,1,50695,6.374017734,18.57088694,28.63572542,22.6072496,-1.519354823,0.274193573,14.48782235,2.608916591,2.098826748,9.288222837,21.20228463,11.06393078,96.62500021,102.0000022,212.7000055,95.4250011,19723,17699,346881,178011,114148,39379,24344,16336.09,167624,30207,25868,112469,0.372,0.607,0.642,0.54,0.1225,0.1875,0.220833333,0.194444444,14.30436606,6.782099618,26.13615308,738.6144543,27.227499,1.278387065,25.94911193,22.50866939,9.867301092,23.84697532,5.647746441,506.7500089,104.7250012,9.80000015,71.54706677,228.7250055,55.05000095,212.7000055,96.62500021,1.633504267,2.286753367,1.6112976,2.1231384,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT130,2021,1,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,24120,27635,1920949,982942,662936,185230,134761,95384.86,932291,131260,143684,661928,0.43,0.632,0.658,0.573,0.151666667,0.194444444,0.2125,0.192777778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.840332033,2.243459033,1.9771423,2.7956848,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AT130,2021,1,10,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,0,0,0,24120,27635,1920949,982942,662936,185230,134761,95384.86,932291,131260,143684,661928,0.43,0.632,0.658,0.573,0.151666667,0.194444444,0.2125,0.192777778,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,1.840332033,2.243459033,1.9771423,2.7956848,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE211,2021,1,138713,8.979642621,16.89112858,24.40466623,22.79116617,0.898750011,1.412333283,12.79133308,3.232999928,4.674915374,8.584659335,17.9074298,11.48861095,231.7000064,154.1000014,230.6000034,173.4500059,23251,22579,1062427,534939,331717,111406,91899,50890.5,525908,89832,95768,341000,0.323,0.478,0.552,0.451,0.065,0.135,0.149166667,0.134722222,13.94924335,6.570678968,31.89026049,482.7036131,24.099998,3.495967592,20.60403041,18.80099933,10.7574217,19.92871457,8.888727192,789.850017,107.7500036,21.95000002,42.53264399,253.9000039,127.050001,230.6000034,216.9000078,2.049194333,2.163075767,2.3069153,2.5985413,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE212,2021,1,138713,9.124285444,17.15645135,24.89333285,23.09233293,0.769285685,1.647999956,13.08838671,3.083666632,4.658690378,8.693003481,18.10112521,11.4581109,235.7000037,155.9000028,269.8000045,157.2000018,5777,6431,348999,177302,110448,38926,28055,16073.07,170916,31600,29033,110553,0.537,0.572,0.683,0.597,0.125,0.154444444,0.151666667,0.163611111,13.90011608,6.344767174,30.1432594,498.6386711,24.38,3.33129027,21.04870973,18.99239041,10.67896509,20.15056244,8.622332956,818.6000129,110.4000021,19.4000003,45.01897604,287.2000044,134.0000037,269.8000045,206.6000018,1.943583133,2.071451833,2.2547607,2.5307312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE212,2021,1,138713,9.124285444,17.15645135,24.89333285,23.09233293,0.769285685,1.647999956,13.08838671,3.083666632,4.658690378,8.693003481,18.10112521,11.4581109,235.7000037,155.9000028,269.8000045,157.2000018,-999,-999,348999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0.537,0.572,0.683,0.597,0.125,0.154444444,0.151666667,0.163611111,13.90011608,6.344767174,30.1432594,498.6386711,24.38,3.33129027,21.04870973,18.99239041,10.67896509,20.15056244,8.622332956,818.6000129,110.4000021,19.4000003,45.01897604,287.2000044,134.0000037,269.8000045,206.6000018,1.943583133,2.071451833,2.2547607,2.5307312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE234,2021,1,72045,8.130238032,16.33580597,23.19388817,22.47922143,1.581071335,2.199555491,13.22188852,3.629444342,4.793185954,8.566576928,17.6464321,11.73279545,250.7000034,149.766669,239.0333346,201.3000076,15486,14692,565571,285005,180921,60211,44044,27281.82,279639,47547,46228,186267,0.54,0.628,0.723,0.631,0.115833333,0.151944444,0.148333333,0.141666667,13.78876262,6.208030016,32.36393663,469.8030067,22.943335,3.761397747,19.18193725,9.141927521,10.28022194,19.49988272,9.141927521,840.8000146,108.0333342,22.8666673,45.47618575,282.4000057,102.3333357,239.0333346,282.4000057,2.0673523,2.1359049,2.1289062,2.4014282,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE234,2021,1,72045,8.130238032,16.33580597,23.19388817,22.47922143,1.581071335,2.199555491,13.22188852,3.629444342,4.793185954,8.566576928,17.6464321,11.73279545,250.7000034,149.766669,239.0333346,201.3000076,15486,14692,565571,285005,180921,60211,44044,27281.82,279639,47547,46228,186267,0.54,0.628,0.723,0.631,0.115833333,0.151944444,0.148333333,0.141666667,13.78876262,6.208030016,32.36393663,469.8030067,22.943335,3.761397747,19.18193725,9.141927521,10.28022194,19.49988272,9.141927521,840.8000146,108.0333342,22.8666673,45.47618575,282.4000057,102.3333357,239.0333346,282.4000057,2.0673523,2.1359049,2.1289062,2.4014282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BE254,2021,1,164995,8.172142781,16.92999982,23.94533303,22.819333,1.057096754,1.588666642,13.16225771,3.60199991,4.6364784,8.506748945,17.88300327,11.51088866,257.0000033,137.7000008,214.2000019,180.9000026,-999,-999,293593,148207,90008,34675,23438,12814.78,144895,27479,24459,93072,0.495,0.58,0.702,0.592,0.1125,0.179722222,0.206666667,0.205,13.45838983,5.648220015,27.70443817,496.3773383,23.66,3.272580555,20.38741944,8.446211402,9.874086692,19.65650163,8.446211402,789.8000086,121.3000031,15.9,50.04138616,284.7000037,94.3000007,214.2000019,284.7000037,1.919433567,2.0021464,2.3201294,2.4249268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
